Name,SHBd,SwHBa,SHsNH3p,SHCsats,meanI,hmax,gmax,hmin,gmin,DELS,fragC
80,0,7.660186712,0,3.182712449,2.3253367,1.286219575,10.98045251,0.165795069,-5.801915911,24.37324614,22.04
81,0,22.34716182,0,0,2.549537037,1.427996649,11.57175721,0.285017794,-6.071692715,27.47353175,149.04
82,0,0,0.315058067,1.734941933,1.722222222,0.315058067,3.803478757,0.20308642,1.1171875,2.109688209,8.01
83,0,0,0.315058067,1.734941933,1.722222222,0.315058067,3.803478757,0.20308642,1.1171875,2.109688209,8.01
84,0,0,0.315058067,1.734941933,1.722222222,0.315058067,3.803478757,0.20308642,1.1171875,2.109688209,8.01
85,1.178065319,10.10049383,0,0,2.334567901,0.60946775,7.096985387,0.18449641,0.143175583,6.770527141,10.03
86,0,6.142361111,0,0.744236111,1.9375,0.503819444,2.125,0.135416667,1.056388889,0.887222222,8.02
87,0,0,0,1.087777778,1.785714286,0.290277778,2.305555556,0.234722222,1.216111111,1.566111111,6.02
88,0,34.03784863,0,1.304513421,1.86,0.446687742,2.321905471,-0.043772754,1.158574791,6.594990757,129.01
89,0,34.03784863,0,1.304513421,1.86,0.446687742,2.321905471,-0.043772754,1.158574791,6.594990757,129.01
90,0,-10.30647014,0.499718325,1.3186678,4,0.979583333,12.84087963,0.499718325,-2.131655329,47.07695011,14.06
91,0,32.70796811,0,0,2.11558642,1.235005144,13.94151235,-0.189845679,-4.337752058,13.8840535,104.02
92,0,0,0,5.047312505,1.982347845,0.771213992,6.059321408,-0.260398085,-2.63265775,21.77313214,18.06
93,0,-53.25835727,0,0,4.450980392,1.725416667,14.37770125,0.229730017,-3.959444444,177.1022701,174.15
94,0.45400463,8.472217078,0,0.739765947,1.914351852,0.45400463,5.373796296,0.075810185,-0.526820988,4.358693416,8.02
95,0.757099553,23.60094482,0,0,2.319444444,0.595902778,12.76815775,0.154631204,-0.032168892,26.13144369,232.04
96,0,0,0.304166667,0.683333333,2.05,0.304166667,3.770833333,0.0625,0.25,2,4.01
97,0,-5.94584908,0,0,3.933333333,1.190685941,13.65737339,0.365980726,-2.059563492,65.46328546,20.08
98,0,34.52739114,0,0,2.035292539,0.965252058,13.84485702,-0.230236835,-3.882165638,15.4836361,119.02
99,0,32.70796811,0,0,2.11558642,1.235005144,13.94151235,-0.189845679,-4.337752058,13.8840535,104.02
100,0,0,0.630116134,1.869883866,1.8,0.315058067,3.809651597,0.216944444,1.106481481,3.238606387,9.02
101,0,0,0.644101474,1.455898526,1.875,0.322050737,3.767695578,0.225625,1.094387755,3.070782313,7.02
102,0.783582766,-0.709768519,0.369811508,1.574930556,2.958333333,0.783582766,9.853715986,0.333402778,-0.709768519,11.12601852,7.03
103,0,0,0.659791667,2.384166667,5.121212121,1.480833333,11.88888889,0.619791667,-5.282986111,43.64324074,10.07
104,0,0,0.659791667,2.384166667,5.121212121,1.480833333,11.88888889,0.619791667,-5.282986111,43.64324074,10.07
105,0,0,0.659791667,2.384166667,5.121212121,1.480833333,11.88888889,0.619791667,-5.282986111,43.64324074,10.07
