morZV(3.90),morRC(3.25),morIP(16.50),morU(14.10),morP(21.60),morU(7.59),morE(0.76),morIP(0.45),morU(7.56),morV(4.86),morIP(6.00),morIP(1.50),morIP(1.48),morPI(19.93),morRC(3.60),morIP(13.32),morIP(13.30),morU(1.82),morIP(10.80),morPI(15.91)
-910.682,10.015,-59.798,-38.995,-6.057,43.843,2501.624,8312.176,45.832,-5.456,15.328,42.54,80.482,-37.984,-46.771,52.807,53.883,-209.63,-61.498,-36.913
-1247.287,-24.695,-74.565,-5.199,-8.445,3.436,2360.498,6935.228,2.631,-39.174,146.772,147.041,166.127,-16.907,-49.179,51.696,51.988,-41.802,-53.84,-13.878
-1576.086,-75.605,28.721,54.221,3.722,-99.926,2088.049,4894.473,-98.214,11.011,230.89,-7.291,3.834,84.92,-100.563,-62.705,-63.583,-100.878,122.335,66.89
-1823.693,-41.245,-32.065,11.59,-16.022,-18.966,1904.376,4903.066,-20.427,-11.748,140.994,91.997,101.329,-3.646,-74.046,37.478,37.137,-10.051,-25.321,-1.67
-2067.074,0.83,-17.301,16.525,-8.154,-44.445,2117.807,5443.58,-46.534,-12.18,144.889,115.022,127.848,37.488,-68.014,17.001,15.951,-28.794,-19.725,33.844
-1344.217,-25.584,-46.98,27.036,-6.921,15.932,1755.371,5372.699,13.771,15.733,61.704,164.047,172.007,40.966,-81.938,30.601,30.266,37.986,-35.083,45.67
-1668.749,-21.673,-42.42,33.568,-12.35,16.963,2039.678,5765.81,16.218,-0.247,95.903,183.982,198.364,69.148,-71.428,23.579,23.182,12.379,-38.186,71.93
-1352.679,-29.193,-49.759,11.163,-8.518,5.293,2290.435,6675.627,3.909,-26.761,116.929,274.932,291.157,-22.938,-52.22,86.859,86.944,16.906,-71.028,-19.14
-1526.259,1.465,-51.363,-7.537,-7.601,92.315,2687.11,8753.118,90.899,-6.035,-42.753,-60.813,-50.297,-70.092,-58.268,5.824,7.343,-70.046,-64.825,-69.092
-933.239,-35.663,-54.296,5.363,4.512,-29.908,1678.212,10980.659,-29.914,-2.413,42.251,-135.289,-99.222,-23.935,-79.783,43.822,44.495,-210.785,-108.962,-23.748
-865.789,-33.131,-50.659,11.582,-4.174,-25.104,1645.535,10853.666,-24.403,-6.958,56.851,-118.76,-82.491,-39.9,-68.342,31.135,32.906,-209.299,-113.709,-42.281
-1032.122,13.13,-64.445,-46.037,-2.139,55.772,3144.787,9071.506,54.963,-3.171,32.778,-195.45,-181.563,-43.67,-31.291,76.483,79.238,-213.357,-96.759,-42.069
-1005.284,11.314,-44.598,-49.885,-3.399,24.16,2979.996,9642.333,28.891,3.485,-13.187,-127.831,-108.712,-62.3,-34.79,67.751,70.063,-235.074,-111.449,-61.609
-750.499,-14.212,-76.761,-33.059,2.424,24.637,2538.633,8668.397,24.802,-11.229,16.44,50.13,81.786,-21.442,-60.14,74.675,77.688,-191.677,-89.568,-19.426
-911.427,-1.482,-50.008,-6.328,-1.308,46.398,2475.916,8001.147,49.082,-27.292,62.391,175.625,207.099,-31.453,-31.772,68.644,71.003,-117.239,-98.192,-28.461
-1354.937,-0.592,-41.569,-19.728,0.919,20.392,2428.083,12553.055,17.483,25.279,29.991,-263.681,-266.083,-32.65,-75.077,41.35,43.003,-233.841,-101.978,-32.582
-1315.14,-26.947,-61.411,-34.745,-8.04,7.246,2205.764,8427.572,9.292,-9.588,64.185,-106.983,-83.089,-42.935,-62.173,45.692,46.727,-205.584,-45.791,-39.078
-1522.061,-36.997,-9.156,14.98,3.207,0.349,1772.232,4902.808,-1.584,17.555,63.204,222.641,240.308,-154.654,-50.813,-14.803,-16.146,-17.5,9.377,-155.029
-1457.281,24.697,-66.774,-62.041,-3.801,119.468,3472.93,11596.274,114.064,11.595,68.139,-411.359,-425.444,-55.528,-35.273,90.808,94.769,-201.796,-112.499,-54.165
-1254.265,-21.046,-58.69,-28.55,-12.043,36.553,2256.81,8046.014,37.896,-20.118,95.371,8.835,23.944,-42.924,-73.076,56.642,56.834,-75.062,-71.479,-40.815
-1006.701,-9.831,-56.604,-43.439,-1.324,44.93,2518.432,9829.881,47.368,-9.845,49.137,-270.127,-250.758,-45.269,-57.126,29.787,30.894,-262.324,-58.539,-45.302
-868.131,-13.192,-61.346,-37.141,-0.338,49.47,2457.25,9440.755,51.111,-6.586,32.355,-259.286,-226.9,-43.485,-64.422,26.794,28.909,-267.025,-59.886,-42.198
-1541.552,-49.189,-43.654,20.333,-19.195,2.958,1310.195,7032.622,2.262,-6.731,160.592,96.518,118.885,-48.212,-91.307,37.449,37.058,-67.677,-64.564,-41.021
-1598.994,-48.607,-43.07,16.578,-17.149,16.309,1296.027,7044.651,17.662,-7.545,162.776,87.014,108.867,-52.336,-89.287,44.123,45.298,-54.118,-70.406,-46.079
-1384.745,-4.398,-49.607,-16.134,-5.553,106.603,2709.409,8911.069,104.673,-6.697,-38.382,51.891,53.628,-80.825,-54.46,15.85,17.128,-29.571,-57.123,-81.018
-1638.425,-6.598,-45.949,-7.947,-19.701,8.032,1935.875,7050.977,5.624,-27.479,92.389,58.756,79.776,-43.64,-86.024,67.471,69.536,-51.497,-55.366,-43.736
-1919.204,6.725,-46.218,10.453,-27.434,-35.687,1915.382,6414.706,-39.361,-50.083,142.754,151.569,167.498,-25.994,-68.088,51.718,50.898,-32.029,-37.825,-18.696
-1724.31,-4.81,-33.923,22.929,-9.356,-8.606,2127.455,5988.344,-9.361,-31.568,144.199,192.424,207.887,30.45,-48.844,45.814,44.654,22.055,-32.38,31.811
-1447.956,22.045,-63.403,-64.104,-3.706,119.441,3483.255,11279.365,113.667,12.26,85.998,-469.147,-484.133,-67.722,-33.055,100.58,104.747,-206.051,-101.881,-65.902
-1144.403,3.392,-62.634,-82.699,-7.461,109.113,3556.343,10674.646,101.417,6.937,110.195,-560.157,-574.625,-58.358,-24.861,108.558,112.369,-206.009,-105.062,-56.483
-1126.679,-20.311,-58.221,-5.522,1.385,-1.507,2715.554,9527.081,0.217,-17.826,91.648,-41.239,-32.207,10.232,-48.832,41.377,42.947,-101.883,-57.378,9.928
-1534.089,-52.425,-59.469,31.535,-20.136,-53.614,2164.033,4760.982,-53.063,-29.654,178.714,101.552,116.282,-9.005,-38.649,15.116,16.688,5.628,-38.933,-7.149
-1012.895,-7.77,-52.604,-41.782,-3.727,33.576,2414.818,8192.506,33.149,-5.274,17.884,-120.519,-86.667,-29.469,-54.923,62.861,65.622,-274.198,-67.093,-28.63
-892.368,-23.266,-78.64,-4.987,-12.845,44.847,2266.132,7732.668,46.037,-29.675,26.953,78.737,105.795,-12.716,-43.253,8.315,10.586,-149.828,-66.543,-8.335
-709.572,-71.079,-40.938,-35.153,-15.553,70.004,801.183,5142.845,79.574,37.713,-33.799,-159.653,-130.946,-177.888,-82.137,23.243,23.72,-175.273,-77.016,-175.997
-641.818,-78.188,-45.495,-28.023,-14.04,86.892,861.199,5532.883,95.02,33.734,-2.44,-141.463,-100.895,-107.768,-86.095,24.601,24.889,-141.483,-68.574,-104.159
-1445.056,-22.335,-71.965,14.302,-18.436,2.3,1830.167,7196.496,2.522,-24.925,148.917,154.33,176.516,-34.835,-54.077,29.599,29.613,-153.241,-33.241,-29.678
-1462.031,-35.353,-18.432,-3.891,0.266,25.155,2038.668,3328.725,24.265,-30.426,77.413,306.198,340.405,-34.206,-56.734,-38.088,-37.313,-4.729,-20.681,-38.893
-855.769,-2.225,-54.15,-43.57,0.426,37.615,2412.596,8282.067,42.088,-4.408,27.282,-172.336,-146.499,-56.328,-55.824,26.441,29.247,-243.801,-64.171,-56.996
-673.063,-31.656,-46.619,-1.877,-20.373,25.372,2019.582,3882.673,23.264,-29.458,158.561,194.618,217.788,112.871,-22.829,20.419,20.84,-25.257,-34.187,120.329
-766.512,-60.016,-77.939,16.069,-15.849,-57.221,2194.013,4266.192,-56.154,-50.751,181.729,258.649,288.757,-20.27,-47.091,-44.927,-44.844,-1.947,-71.746,-10.979
-2372.557,0.155,-65.697,0.144,1.932,20.591,3104.858,9086.318,19.466,-1.905,125.542,-224.018,-199.101,-320.862,-59.768,14.148,14.425,-218.824,-24.905,-319.539
-1057.795,-7.345,-60.365,-38.808,-11.239,56.936,2338.212,7329.091,59.819,5.825,18.61,-101.475,-70.77,-32.943,-65.546,31.719,31.436,-255.717,-37.911,-31.111
-1265.644,-8.725,-35.476,1.681,-8.998,-34.475,2238.766,7136.645,-37.316,-18.989,129.002,58.832,80.926,72.604,-66.546,49.855,48.533,-50.278,-50.315,85.685
-734.208,-55.87,-77.142,20.231,-18.626,28.956,2350.954,6519.967,29.806,-39.131,31.555,248.9,275.313,11.144,-46.13,-8.439,-8.002,-27.407,-69.113,17.383
-1287.088,-11.491,-64.796,-12.288,-7.53,13.388,2228.905,7271.836,12.524,-28.628,106.849,138.425,162.385,-37.532,-63.418,70.138,71.13,-68.849,-73.994,-34.379
-1048.79,-9.479,-60.725,-7.071,-6.97,139.767,3167.088,8075.93,142.682,-11.986,-64.782,-374.068,-355.455,-57.875,-48.7,5.563,6.541,-194.736,-92.64,-56.862
-1324.069,-7.161,-59.02,-29.131,-3.643,26.154,2232.516,8161.115,25.65,-9.936,47.217,-121.912,-101.008,-85.366,-78.16,52.636,55.125,-217.806,-58.893,-82.756
-2423.794,-6.24,-45.449,21.735,-26.504,-34.93,1708.787,6956.911,-36.976,9.822,110.197,78.75,95.53,8.407,-93.951,75.814,74.2,-85.929,3.557,16.037
-956.94,-1.677,-68.761,-38.849,-6.711,36.765,2399.713,9290.103,36.315,-4.461,-2.031,-84.785,-51.231,-26.01,-48.902,56.584,58.436,-232.036,-69.691,-25.337
-791.41,-15.261,-66.758,-38.592,-0.595,36.589,2531.251,9525.231,37.665,-15.96,28.89,-88.379,-60.559,-39.779,-43.228,50.788,52.28,-232.443,-85.141,-38.909
-756.663,-7.737,-49.248,-41.582,-4.503,39.803,2474.857,8618.601,40.708,-7.157,5.381,-10.608,22.452,-37.528,-49.422,46.657,48.293,-238.968,-54.344,-36.125
-1841.947,-4.784,-32.368,9.96,-13.885,4.818,2094.38,6205.369,2.134,-2.794,64.394,148.707,160.188,53.006,-72.466,56.778,55.854,-1.478,-48.884,56.843
-809.931,-45.663,-77.836,9.645,-15.755,39.791,2323.066,7204.551,40.992,-37.024,81.415,166.357,195.772,-5.824,-42.78,3.816,5.233,-60.704,-78.299,-0.963
-742.475,1.641,-53.559,-22.149,1.005,59.935,2616.652,8565.299,61.259,-7.362,-5.134,46.58,87.75,-26.858,-33.287,61.419,61.379,-216.061,-51.249,-26.331
-1637.839,-5.135,-44.149,-9.718,-20.464,5.301,1997.267,6915.607,2.944,-28.681,88.485,29.795,41.476,-50.672,-91.367,72.859,74.714,-51.183,-52.366,-51.124
-1681.016,1.477,-45.059,-14.571,-21.525,9.479,1959.75,6846.127,8.147,-28.705,77.785,43.52,57.732,-47.529,-86.691,73.42,75.463,-52.32,-51.347,-46.372
-2095.099,-30.261,-18.184,29.56,-2.972,-7.441,2446.499,8270.994,-7.681,-24.766,139.571,65.323,93.658,-10.101,-49.146,-23.196,-26.025,-132.69,-17.001,-37.452
-1866.094,-48.311,-58.642,17.666,-9.518,21.718,1163.664,7387.238,28.047,-5.886,121.856,67.314,84.553,-31.654,-91.492,59.95,58.239,-50.783,-68.871,-28.126
-773.157,-15.826,-60.145,-13.924,-1.371,88.837,1392.779,8708.486,84.887,-6.078,-9.684,198.742,215.948,-44.683,-39.094,-1.064,0.359,-61.962,-64.643,-42.732
-3818.871,-35.122,17.502,72.336,-5.439,-102.64,1385.894,9199.923,-100.746,-38.243,227.564,-54.951,-40.555,-55.524,-62.11,-63.216,-67.965,-116.382,83.562,-52.219
-867.233,-25.066,-60.043,-12.833,-10.716,23.799,2094.095,6048.364,25.629,-18.864,44.528,153.036,181.304,-11.611,-50.57,48.383,50.345,-98.736,-65.287,-5.147
-2258.359,16.713,-38.837,18.587,-16.802,-52.225,2014.208,6547.394,-57.101,-69.6,141.217,152.663,165.634,84.939,-70.453,55.16,54.169,-44.442,-16.71,91.041
-1048.764,-9.479,-60.701,-7.07,-6.964,139.761,3167.104,8075.944,142.675,-11.987,-64.779,-374.05,-355.436,-57.853,-48.7,5.577,6.556,-194.724,-92.654,-56.84
-3664.912,-65.006,-16.085,12.085,-15.333,-42.328,1828.257,6107.057,-42.683,-28.297,151.962,38.081,45.673,-248.347,-105.656,2.345,-0.578,-55.304,105.033,-230.154
-1125.393,-81.39,-35.547,-0.556,-9.428,-5.85,1474.398,7727.439,-5.515,-9.227,149.319,25.73,21.393,-89.379,-73.442,75.611,77.104,-31.679,-45.475,-82.727
-1867.637,-48.206,-58.714,17.582,-9.544,21.585,1163.646,7387.249,27.862,-5.86,122.259,67.331,84.589,-32.477,-91.579,59.755,58.075,-50.853,-69.29,-29.009
-1005.784,-13.335,-57.073,-40.969,0.658,27.881,2566.257,8511.404,27.992,-6.971,16.664,15.011,50.323,-22.396,-36.653,69.63,71.919,-227.492,-63.645,-20.876
-754.305,5.922,-54.634,-34.612,-2.759,61.504,2530.736,8386.064,60.724,-0.454,19.18,56.011,86.802,-28.502,-37.899,63.38,65.746,-216.437,-68.904,-27.65
-1217.183,10.003,-43.274,-15.442,1.936,41.222,2567.428,7756.547,43.23,-7.429,28.837,89.92,125.146,-28.695,-41.132,38.14,40.541,-181.941,-72.009,-27.616
-3253.094,19.698,-38.682,20.141,2.849,-44.489,3421.63,8865.559,-44.842,-6.79,105.539,-182.545,-154.59,-109.429,-42.885,12.635,10.817,-219.96,-17.663,-91.928
-3061.084,15.758,-15.7,12.891,1.054,0.194,3326.87,8680.667,-0.54,-2.137,98.848,-141.092,-104.51,-264.34,-52.295,4.263,2.524,-252.733,-39.766,-270.473
-2398.906,0.062,-2.519,9.74,4.219,-2.523,3503.349,8961.75,0.516,-1.803,111.022,-228.681,-202.818,-248.773,-51.626,5.573,5.666,-217.042,-61.888,-264.904
